group,validation_rmse,weight_XGBoost,weight_RandomForest,weight_SVR
low,3.139138211255497,0.7805165767910323,0.21186284196260863,0.0076205812463590395
high,3.139138211255497,0.18493121575256666,0.5323940687158681,0.28267471553156526
